Sample	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
SRX8164307	6400919	2143007	6400919	256036760	217091	253228325	1.0968874156976522
SRX8387559	5631615	1930373	5631615	563161500	813966	559909022	0.5775391250999935
SRX8387560	6060198	2024728	6060198	606019800	631550	602811119	0.5294680140813881
SRX8387561	9445739	3132477	9445739	377829560	510091	373538538	1.1357030932148346
SRX8387562	9433361	4052543	9433361	377334440	1549574	370468875	1.8194906884195357
SRX8387563	8990695	2982180	8990695	359627800	425379	355614863	1.1158583958192332
SRX8387564	9481574	4021867	9481574	379262960	1455261	372531358	1.774916801788395
SRX8387565	9367857	3054271	9367857	374714280	449434	370588708	1.1009914007013557
SRX8387566	9952837	4279192	9952837	398113480	1371776	391124870	1.7554316422543643
SRX8387567	11279484	3736508	11279484	451179360	547428	446135495	1.1179290205119312
SRX8387568	10832288	4646161	10832288	433291520	1948414	425255043	1.854750584548712
SRX8387571	5316590	1789257	5316590	531659000	606102	528778287	0.5418347098422108
SRX8387574	10336854	4431879	10336854	413474160	933288	406708461	1.636305156288364
SRX8387575	8029732	3350299	8029732	321189280	820289	315962362	1.6273637775208436
SRX8387576	9083843	3004622	9083843	363353720	238478	359520157	1.0550498836230437
SRX8387577	7718659	2566110	7718659	308746360	205736	305458447	1.0649236480067328
SRX8387582	6859352	3044986	6859352	685935200	3702515	678130116	1.1378748313251748
SRX8387589	6363781	2157584	6363781	636378100	680310	632982145	0.533637942600476
SRX8387590	5490237	2398443	5490237	549023700	3059807	542721063	1.1479717542248176
SRX8387591	6173485	2728624	6173485	617348500	3402634	610308220	1.1404061077333143
SRX8387592	6891066	3047791	6891066	689106600	3685490	681342279	1.1267227740961994
SRX8387593	11146719	4724008	11146719	445868760	1665124	437983020	1.7686235743450605
SRX8387594	7861183	2607710	7861183	314447320	374251	310940993	1.115076127855057
SRX8420202	7564491	2489691	7564491	302579640	209450	299391818	1.0535480840680491
SRX8420203	8672002	2823928	8672002	346880080	230778	343257912	1.0442133200615036
SRX8420204	9455035	4008071	9455035	378201400	969628	371962950	1.6495047347788772
SRX8420205	9241702	2993236	9241702	369668080	245331	365842541	1.0348578108231579
SRX8420206	8588261	3645380	8588261	343530440	890721	337852198	1.6529079635563007
SRX8420207	8997176	3806960	8997176	359887040	928407	353956326	1.6479376417667053
SRX8420208	9510080	3995183	9510080	380403200	1059043	374086184	1.6606106362932804
SRX8420209	8316606	2708127	8316606	332664240	219020	329201806	1.0408194159973432
SRX9633794	30161688	4427337	30161688	3678111354	10017249	3660965959	0.46614670818364784
SRX9633795	25438306	2717011	25438306	3225234773	2855188	3218329458	0.2141027083611938
SRX9633796	27299197	4309911	27299197	3483880813	28965078	3448329830	1.0204419986855617
SRX9633797	26172238	4084454	26172238	3391056889	16969623	3367986757	0.6803227652958435
SRX9633798	35862383	7149144	35862383	4503513948	3025311	4489915130	0.30196016170970674
SRX9633799	22901195	3517177	22901195	2947887038	22865841	2919682683	0.956765121472745
SRX9633800	22883604	3499978	22883604	2838264409	51766262	2781016508	2.017003800578609
SRX9633801	33656083	5052180	33656083	4381258171	10551485	4363219507	0.41172337479219506
SRX9633802	43199260	6732636	43199260	5676421790	7251627	5659641774	0.29560904070872435
SRX9682649	4786312	680646	4786312	361395211	63293953	297245992	17.750434163888244
SRX9682654	11377019	1186902	11377019	859907468	3324218	854438218	0.6360277359517013
SRX9682659	10994207	2393623	10994207	828781084	4559827	821216994	0.9126764770611004
SRX9682664	9178255	1980556	9178255	691960331	3806794	685642538	0.9130282065259028
SRX9682669	15192757	2920423	15192757	1151516146	2375352	1144594633	0.6010782414161652
SRX9682674	16085275	3787986	16085275	1219101359	3549810	1207781328	0.9285553589478034
SRX9699053	10062265	4268776	10062265	754669875	1246866	747426131	0.9598559900115264
SRX9699054	8617561	3571836	8617561	646317075	1823164	639520841	1.051532485042268
SRX9699055	10029553	3995721	10029553	752216475	1229157	745470625	0.8967963643710408
SRX9699056	9903462	4087271	9903462	742759650	1350404	735734567	0.9458083782553348
SRX973265	14173366	9385517	14173366	1332296404	82471397	1237035432	7.150133537401637
SRX973266	11440615	4013108	11440615	1075417810	56247159	1014044699	5.706908554917833
SRX973267	10923245	5528734	10923245	1026785030	37458544	982067961	4.355056578882924
SRX973268	10317883	5135357	10317883	969881002	34272874	928826876	4.232903409319487
SRX9960951	27507504	12106690	27507504	2051695695	8754794	1671760723	18.518095686699777
SRX9960952	24796435	10942158	24796435	1849381413	7731383	1514127124	18.127914914866725
