Module	Section	Sample Name	Source
featureCounts	all_sections	Muc_23	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/Muc_23_all.txt.summary
featureCounts	all_sections	SRX9960962	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX9960962_all.txt.summary
featureCounts	all_sections	Vir_19	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/Vir_19_all.txt.summary
featureCounts	all_sections	SRX5233213	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX5233213_all.txt.summary
featureCounts	all_sections	SG_7	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SG_7_all.txt.summary
featureCounts	all_sections	SRX1357243	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX1357243_all.txt.summary
featureCounts	all_sections	SRX8387577	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX8387577_all.txt.summary
featureCounts	all_sections	SRX9633794	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX9633794_all.txt.summary
featureCounts	all_sections	Metab_14	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/Metab_14_all.txt.summary
featureCounts	all_sections	SRX8387561	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX8387561_all.txt.summary
featureCounts	all_sections	Vir_7	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/Vir_7_all.txt.summary
featureCounts	all_sections	Mia_4	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/Mia_4_all.txt.summary
featureCounts	all_sections	SRX6878012	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX6878012_all.txt.summary
featureCounts	all_sections	Muc_18	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/Muc_18_all.txt.summary
featureCounts	all_sections	SRX8387559	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX8387559_all.txt.summary
featureCounts	all_sections	SRX5797722	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX5797722_all.txt.summary
featureCounts	all_sections	Muc_12	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/Muc_12_all.txt.summary
featureCounts	all_sections	SRX5505140	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX5505140_all.txt.summary
featureCounts	all_sections	Metab_20	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/Metab_20_all.txt.summary
featureCounts	all_sections	ERX4294051	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/ERX4294051_all.txt.summary
featureCounts	all_sections	CM_12	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/CM_12_all.txt.summary
featureCounts	all_sections	SG_1	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SG_1_all.txt.summary
featureCounts	all_sections	SRX8387566	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX8387566_all.txt.summary
featureCounts	all_sections	Metab_4	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/Metab_4_all.txt.summary
featureCounts	all_sections	Vir_11	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/Vir_11_all.txt.summary
featureCounts	all_sections	SRX2722018	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX2722018_all.txt.summary
featureCounts	all_sections	SRX6878020	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX6878020_all.txt.summary
featureCounts	all_sections	SRX6878005	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX6878005_all.txt.summary
featureCounts	all_sections	SRX9960964	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX9960964_all.txt.summary
featureCounts	all_sections	Muc_15	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/Muc_15_all.txt.summary
featureCounts	all_sections	SRX5505135	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX5505135_all.txt.summary
featureCounts	all_sections	SRX8164288	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX8164288_all.txt.summary
featureCounts	all_sections	SRX8164283	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX8164283_all.txt.summary
featureCounts	all_sections	SRX973265	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX973265_all.txt.summary
featureCounts	all_sections	SRX4065848	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX4065848_all.txt.summary
featureCounts	all_sections	SRX8387582	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX8387582_all.txt.summary
featureCounts	all_sections	SRX8049164	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX8049164_all.txt.summary
featureCounts	all_sections	Vir_9	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/Vir_9_all.txt.summary
featureCounts	all_sections	Metab_19	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/Metab_19_all.txt.summary
featureCounts	all_sections	SRX5014562	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX5014562_all.txt.summary
featureCounts	all_sections	Muc_6	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/Muc_6_all.txt.summary
featureCounts	all_sections	SRX9682669	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX9682669_all.txt.summary
featureCounts	all_sections	SRX8387560	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX8387560_all.txt.summary
featureCounts	all_sections	SRX8164286	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX8164286_all.txt.summary
featureCounts	all_sections	ERX4294047	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/ERX4294047_all.txt.summary
featureCounts	all_sections	Mia_5	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/Mia_5_all.txt.summary
featureCounts	all_sections	SRX1357239	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX1357239_all.txt.summary
featureCounts	all_sections	SRX1549383	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX1549383_all.txt.summary
featureCounts	all_sections	Muc_19	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/Muc_19_all.txt.summary
featureCounts	all_sections	SRX973267	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX973267_all.txt.summary
featureCounts	all_sections	SRX5014577	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX5014577_all.txt.summary
featureCounts	all_sections	SRX4065829	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX4065829_all.txt.summary
