Sample	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_FragmentLength	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity
SRX5797722	27851287.0	10099.0	553631.0	12213.0	3770344.0	1473489.0	68963.0
SRX5797723	28533714.0	12210.0	563891.0	13526.0	3738449.0	1411037.0	73731.0
SRX5797724	27119829.0	8040.0	536941.0	12177.0	3598769.0	1375739.0	69411.0
SRX5797725	19489111.0	16855.0	553946.0	12062.0	1359104.0	868799.0	51824.0
SRX5797726	23722144.0	5261.0	656177.0	15787.0	1732879.0	1041220.0	61117.0
SRX5797727	31014900.0	6782.0	875678.0	20255.0	2772651.0	1381063.0	74798.0
SRX5806783	28676870.0	5631.0	577291.0	16617.0	3428472.0	1351806.0	68870.0
SRX5806784	26652645.0	8168.0	545352.0	14255.0	3236851.0	1323540.0	65993.0
SRX5806785	23186696.0	14423.0	486966.0	12163.0	2711590.0	1026467.0	56374.0
SRX5806786	24339007.0	4521.0	580750.0	17234.0	3169934.0	1256003.0	54783.0
SRX5806787	23384015.0	3005.0	582312.0	14388.0	2876542.0	1114948.0	52379.0
SRX5806788	23704993.0	9020.0	542593.0	17305.0	3143169.0	1185146.0	54773.0
SRX6877996	865453.0	696207.0	176807.0	0.0	1634412.0	84300.0	2244.0
SRX6877997	796396.0	774155.0	244824.0	0.0	1718434.0	85277.0	1877.0
SRX6877998	199709.0	291103.0	3527488.0	0.0	1130942.0	25456.0	282.0
SRX6877999	858579.0	2266501.0	3295299.0	0.0	2061153.0	162139.0	2170.0
SRX6878000	462570.0	947668.0	1928964.0	0.0	1134297.0	62350.0	982.0
SRX6878001	624058.0	510430.0	39981004.0	0.0	1624033.0	49862.0	2052.0
SRX6878002	485188.0	244000.0	76580633.0	0.0	1136116.0	19983.0	943.0
SRX6878003	284948.0	261615.0	20467788.0	0.0	383298.0	13196.0	892.0
SRX6878004	191740.0	58976.0	28313094.0	0.0	528745.0	9917.0	305.0
SRX6878005	91350.0	47779.0	6802317.0	0.0	370994.0	2596.0	130.0
SRX6878006	454983.0	145526.0	35349892.0	0.0	1146430.0	35799.0	1205.0
SRX6878007	215115.0	261915.0	23105586.0	0.0	1154552.0	7870.0	363.0
SRX6878008	1064281.0	1749572.0	230385.0	0.0	4124933.0	65245.0	1254.0
SRX6878009	369333.0	158481.0	31312965.0	0.0	1139507.0	7433.0	740.0
SRX6878010	215840.0	70168.0	44429548.0	0.0	407109.0	4295.0	349.0
SRX6878011	3873778.0	400078.0	2294870.0	0.0	4154789.0	205747.0	6116.0
SRX6878012	4957765.0	788626.0	3776400.0	0.0	3963989.0	281131.0	8198.0
SRX6878013	91967.0	1612029.0	6111753.0	0.0	242390.0	9388.0	156.0
SRX6878014	194260.0	3168857.0	12247590.0	0.0	523616.0	17294.0	353.0
SRX6878015	203654.0	3524794.0	14903682.0	0.0	552323.0	20024.0	402.0
SRX6878016	197850.0	3332252.0	14116578.0	0.0	482004.0	19172.0	416.0
SRX6878017	1950277.0	857775.0	3064717.0	0.0	3567350.0	140239.0	3586.0
SRX6878018	3595733.0	426781.0	3769510.0	0.0	5865463.0	313626.0	6198.0
SRX6878019	1863927.0	4620166.0	339303.0	0.0	5080827.0	117927.0	2465.0
SRX6878020	1365757.0	1171568.0	9728420.0	0.0	5278117.0	79837.0	1821.0
SRX6878021	3190043.0	1887462.0	16752663.0	0.0	9157064.0	191999.0	4269.0
SRX6878022	2865451.0	3519845.0	18374762.0	0.0	8926873.0	181061.0	3975.0
SRX6878023	1646128.0	6368485.0	327687.0	0.0	5160706.0	87026.0	1947.0
SRX6878024	1283778.0	226872.0	261583.0	0.0	2362902.0	128128.0	3729.0
