Sample	Top over-represented sequence	Sum of remaining over-represented sequences
SRX6878004	16.52747433689919	48.76445983144495
SRX6878005	4.623449420013161	29.207580525171956
SRX6878006	12.103646176054802	44.12975928826097
SRX6878007	2.0980221738980913	20.788141602554752
SRX6878008	1.4860406845530545	30.268074691079054
SRX6878009	1.7291683737030579	12.07646286236044
SRX6878010	8.414968860651541	32.55518515407155
SRX6878011	1.4329088578373788	12.090107904820487
SRX6878012	0.8294940175052331	9.278490755263332
SRX6878013	3.963938593026027	5.880449194644857
SRX6878014	3.701765171678749	6.0669317736474255
SRX6878015	3.378750785152044	6.605248593339227
SRX6878016	3.2847645219335484	5.3238952997839135
SRX6878017	0.8441305583588552	14.775378487186485
SRX6878018	0.9572728259391239	11.084463957337718
SRX6878019	2.365730628381865	36.249958938394286
SRX6878020	1.6255747348163347	18.16783277883433
SRX6878021	1.6523578174355027	14.191380056760792
SRX6878022	1.593813550892985	14.17231246121608
SRX6878023	2.2885114816613537	36.4572811656051
SRX6878024	2.7947556498816963	15.323628448330812
SRX6878025	1.126529795248015	9.517320754783366
SRX6878026	4.259754758510502	30.427944226530002
SRX6878027	4.590966371666873	21.519570738841484
SRX6878028	0.9940256566128474	11.37412670543278
SRX7125364	0.18470571994685794	1.6548120346626511
SRX7125365	0.17749980046826688	1.5897891340867183
SRX7125366	0.28582139932871137	0.6526445745279408
SRX7125367	0.3649703502954023	1.0186825309301737
SRX7125368	0.20064885249212192	1.8888278117821051
SRX7125369	0.48149710746512414	1.9637315589211373
SRX7125370	0.41769058159287925	1.2528003109987038
SRX7125371	0.3748575957296958	0.745128549060516
SRX7125372	0.22922122554151106	1.2142317466548114
SRX7125373	0.1466754469915025	0.8661110518117562
SRX7125374	0.18808546758766342	1.2084647353261913
SRX7125375	0.3487398381528327	0.7414282430543736
SRX8049163	4.887607084180052	28.37582295979572
SRX8049164	8.855324784627634	28.004811151816355
SRX8049165	6.757859256614347	31.442318828227833
SRX8049166	5.7469854843300565	22.848429391530026
SRX8049167	12.0437856295682	14.591207102942258
SRX8049168	8.876275310371614	13.70787652908355
SRX8164260	0.5967783768934987	0.6673543125330461
SRX8164261	0.1251448569456117	0.0
SRX8164262	0.17966760777135138	0.2442587566495974
SRX8164263	0.20001810358234265	0.24970665937387607
SRX8164264	0.18710796135389493	0.11537421377293114
SRX8164265	0.41105587357872736	2.2434681209186063
SRX8164266	1.5089871569339104	1.1814866971621518
SRX8164267	0.9412904880933406	1.1926628941765791
SRX8164268	0.8920548489233309	1.0862395884339162
SRX8164269	1.2135432093991008	1.441092789221769
SRX8164270	0.30261390881061045	0.7675990737404478
SRX8164271	0.47389884967394674	2.341097972357488
SRX8164272	0.4656198578605622	0.4973498279785388
SRX8164273	0.46828449380191217	0.6083309648423965
SRX8164274	0.8287403605335798	1.4692259131963215
SRX8164275	0.6686943877338895	1.7087716664767818
SRX8164276	0.6749355896175154	0.820237472232762
SRX8164277	0.15109491001092828	0.4524356495351906
SRX8164278	0.9992938848446128	1.1898871855136823
SRX8164279	0.31799472624526076	0.685932103363873
SRX8164280	0.23290231474045797	0.7591054923887713
SRX8164281	0.2834203957402806	0.6787058939231407
