Sample	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned_percentage	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Metab_1	68.66524156466421	5701939	96.33	7999504.0	1.1935212560313242	81.81980062942299	37.0	50.409884215580334	18.181818181818183	8303967.0
Metab_10	75.74039997996323	4672167	96.63	5961073.0	1.204169829751837	79.79884156743962	36.0	50.57430683070664	18.181818181818183	6168659.0
Metab_11	60.7251487264692	3062767	95.83	4833424.0	0.8116872109826021	78.46255582961291	39.0	50.42600058885868	18.181818181818183	5043655.0
Metab_12	73.43688447395152	4723832	96.85	6229907.0	0.8311904990850297	80.52794833449876	37.0	50.57644516771535	18.181818181818183	6432506.0
Metab_13	74.14939034538709	4789298	96.28	6218554.0	0.833703154814273	79.38408725621362	36.0	50.411934228055955	18.181818181818183	6458985.0
Metab_14	70.09442291684795	4244954	96.01	5814492.0	1.1734826436979604	79.13092224424399	37.0	50.418878903100385	18.181818181818183	6056051.0
Metab_15	61.1513976456868	4194833	96.59	6625956.0	0.8002170063360119	83.4857543521605	40.0	50.59208105251649	18.181818181818183	6859750.0
Metab_16	60.154728331197795	3783961	96.77	6087480.0	0.8065229255641295	82.05227692664413	40.0	50.588868399047435	18.181818181818183	6290380.0
Metab_17	64.352041147528	3618319	96.12	5404362.0	0.8131711365243611	78.26703610569257	38.0	50.41420493197657	18.181818181818183	5622695.0
Metab_18	61.169738890006485	2830919	95.91	4438707.0	0.8055471346579807	79.01445929112394	39.0	50.58945309317924	18.181818181818183	4627973.0
Metab_19	67.19512879925286	4547175	96.85	6554166.0	1.172636182825087	80.03486755594628	38.0	50.42161569471208	18.181818181818183	6767120.0
Metab_2	54.89695010272682	2880135	96.08	5040944.0	0.7896082668843658	79.64970617143868	40.0	50.42648909098152	27.27272727272727	5246439.0
Metab_20	44.70475593434476	3160527	96.57	6827037.0	0.7751893887305085	83.63702346393335	42.0	50.44841648493065	27.27272727272727	7069778.0
Metab_3	66.24559369346406	4262215	96.56	6212824.0	1.1909076041490274	79.95808170613975	38.0	50.41258835926863	18.181818181818183	6433960.0
