Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Muc_1	Muc_1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3647288.0	0.0	20-40	37.0	31.227123303263042	39.57733636608899	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass
Muc_10	Muc_10_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2986763.0	0.0	20-40	37.0	33.27610969028124	39.57718807953627	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass
Muc_11	Muc_11_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2977654.0	0.0	20-40	37.0	33.12704609666194	39.57759027744661	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass
Muc_12	Muc_12_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2851574.0	0.0	20-40	37.0	33.81562631654765	39.57923027773433	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass
Muc_13	Muc_13_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2639178.0	0.0	20-40	39.0	32.89152849391736	39.55203930920916	pass	pass	fail	pass	fail	pass	pass	warn	fail	fail	pass
Muc_14	Muc_14_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3110042.0	0.0	20-40	39.0	29.698416337107584	39.55898087549943	pass	pass	fail	pass	fail	pass	pass	warn	fail	fail	pass
Muc_15	Muc_15_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2552019.0	0.0	20-40	40.0	33.82725156378861	39.5505162775042	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Muc_16	Muc_16_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2465014.0	0.0	20-40	39.0	37.52629642136004	39.52757347422773	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
Muc_17	Muc_17_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3209807.0	0.0	20-40	38.0	34.51435002202757	39.556787370704846	pass	pass	fail	pass	fail	pass	pass	warn	fail	fail	pass
Muc_18	Muc_18_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4134464.0	0.0	20-40	38.0	29.9236425986055	39.56185590199842	pass	pass	fail	pass	fail	pass	pass	warn	fail	fail	pass
Muc_19	Muc_19_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3143364.0	0.0	20-40	39.0	28.875101298334677	39.56901046140377	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass
Muc_2	Muc_2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2869269.0	0.0	20-40	36.0	32.575762616440635	39.58120204135618	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass
Muc_20	Muc_20_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2950403.0	0.0	20-40	38.0	31.345851835522154	39.56170326562168	pass	pass	fail	pass	fail	pass	pass	warn	fail	fail	pass
Muc_21	Muc_21_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3742442.0	0.0	20-40	40.0	25.92101383856587	39.56758341211434	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
Muc_22	Muc_22_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2884119.0	0.0	20-40	38.0	31.210761802465164	39.56182806604027	pass	pass	fail	pass	fail	pass	pass	warn	fail	fail	pass
Muc_23	Muc_23_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2854802.0	0.0	20-40	39.0	30.282751352264025	39.5620358259522	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass
Muc_24	Muc_24_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3079910.0	0.0	20-40	39.0	29.9929772725097	39.56173621956486	pass	pass	fail	pass	fail	pass	pass	warn	fail	fail	pass
Muc_3	Muc_3_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2630608.0	0.0	20-40	37.0	34.44641863155587	39.578868839447004	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass
Muc_4	Muc_4_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3031117.0	0.0	20-40	37.0	33.50445614347444	39.578469257372774	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass
Muc_5	Muc_5_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2887631.0	0.0	20-40	36.0	32.51496588357757	39.57854275702124	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass
Muc_6	Muc_6_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2926056.0	0.0	20-40	37.0	31.55069846324973	39.58011808386443	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass
Muc_7	Muc_7_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2588674.0	0.0	20-40	38.0	32.404545529847496	39.58162441466172	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass
Muc_8	Muc_8_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2970291.0	0.0	20-40	36.0	30.774760187060483	39.57933885939122	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass
Muc_9	Muc_9_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2623092.0	0.0	20-40	37.0	34.05667598016636	39.57766330727249	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass
SG_1	SG_1_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11806207.0	0.0	20-51	34.0	28.561001012278698	50.335412889169234	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
