Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Vir_10	Vir_10_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4257162.0	0.0	20-151	36.0	73.75986570551349	150.34452835010742	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
Vir_11	Vir_11_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3683488.0	0.0	20-151	36.0	79.33190849872045	150.28342484080306	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
Vir_12	Vir_12_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4604981.0	0.0	20-151	35.0	18.87176021646074	150.48743979616853	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
Vir_13	Vir_13_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4298140.0	0.0	20-151	35.0	22.31370407718793	150.4603863531667	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
Vir_14	Vir_14_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4255947.0	0.0	20-151	36.0	79.45029337961212	150.16884561767333	pass	pass	pass	pass	fail	pass	pass	warn	pass	warn	pass
Vir_15	Vir_15_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5190859.0	0.0	20-151	34.0	20.844036310295433	150.4884320687578	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
Vir_16	Vir_16_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4710499.0	0.0	20-151	36.0	81.04109627310311	150.22760964390397	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
Vir_17	Vir_17_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4546657.0	0.0	20-151	36.0	79.55677909155405	150.2331414047728	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
Vir_18	Vir_18_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3920051.0	0.0	20-151	36.0	81.48997861176925	150.27720149559278	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
Vir_19	Vir_19_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3191187.0	0.0	20-151	34.0	22.954955341693644	150.5381348695642	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
Vir_2	Vir_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4549226.0	0.0	20-151	36.0	43.74697006448894	150.3041803155086	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
Vir_20	Vir_20_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3995473.0	0.0	20-151	34.0	20.40467598767451	150.53196605258	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
Vir_3	Vir_3_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4458789.0	0.0	20-151	34.0	18.406828403190566	150.56685750323686	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
Vir_4	Vir_4_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3247069.0	0.0	20-151	36.0	79.95592115813602	150.3780246123504	pass	pass	warn	pass	fail	pass	pass	warn	pass	pass	pass
Vir_5	Vir_5_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3611607.0	0.0	20-151	36.0	79.92210122133706	150.21294260422022	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
Vir_6	Vir_6_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3675344.0	0.0	20-151	36.0	81.18412108881347	150.23626740789433	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
Vir_7	Vir_7_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3813725.0	0.0	20-151	35.0	23.06861291116422	150.4666849340212	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
Vir_8	Vir_8_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4084342.0	0.0	20-151	36.0	80.34005208810807	150.17463767725621	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
Vir_9	Vir_9_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3899916.0	0.0	20-151	37.0	21.3894346235759	150.58327128071477	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
